VERSION,AGEUP,BURUP,ACCT,BUD_FUNCTION,BUD_SUBFCT,ACCOUNT_TITLE,AGENCY_TITLE,BUREAU_TITLE,PA_NARRATIVE,PN_NARRATIVE
PB21PF01,184,60,0003  ,150 - International Affairs                                           ,155 - International financial programs                                ,"184-60-0003   United States Quota, International Monetary Fund",International Assistance Programs,International Monetary Programs,,"The United States mainly participates in the International Monetary Fund (IMF) through a quota subscription, denominated in Special Drawing Rights (SDRs). Under reforms to IMF quotas decided in 2010 and implemented by the IMF in early 2016 after Congress passed the necessary legislation ratifying the reforms, the U.S. quota at the IMF increased by SDR 40,871,800,000 (approximately $58 billion using the current exchange rate) to the U.S. quota in the IMF is presently SDR 82,994,200,000 (approximately $115 billion using the current exchange rate). Quotas are the main metric used by the Fund to assign voting shares and to determine countries' contributions to quota contributions are the first line of resources to the IMF's general resources and access to IMF financing.The use of the U.S. quota resources by at the IMF constitutes an exchange of monetary assets and does not result in budget outlays. When the United States transfers dollars or other reserve assets to the IMF under the U.S. quota subscription, the United States receives an equal, offsetting, and interest-bearing claim on the IMF, which is reflected as an increase in U.S. international monetary reserves. The U.S. reserve position in the IMF is readily available to meet a U.S. balance-of-payments financing need.See the ""Loans to International Monetary Fund"" account for additional information about the 2020 IMF agreement."
PB21PF01,018,85,0013  ,"500 - Education, Training, Employment, and Social Services            ","500 - Education, Training, Employment, and Social Services            ",018-85-0013   Disaster Education Recovery,Department of Education,Disaster Education Recovery,," Funds support the following six programs authorized under Public Law 115-123: Awards to Eligible Entities for Immediate Aid to Restart School Operations; Temporary Emergency Impact Aid for Displaced Students; Assistance to Local Educational Agencies Serving Homeless Children and Youth enrolled as a result of displacement by a covered disaster or emergency; Project School Emergency Response to Violence activities authorized under section 4631(b) of the Elementary and Secondary Education Act, as amended; Emergency Assistance to Institutions of Higher Education (IHEs) and Students Attending IHEs from an area directly affected by a covered disaster or emergency; and payments to IHEs to help defray the unexpected expenses associated with enrolling students from IHEs at which operations have been disrupted by a covered disaster or emergency. Amounts in this schedule reflect balances that are spending out from prior-year appropriations."
PB21PF01,100,95,0036  ,800 - General Government                                              ,802 - Executive direction and management                              ,100-95-0036   Information Technology Oversight and Reform,Executive Office of the President,Unanticipated Needs,"Information Technology Oversight and Reform(including transfer of funds)For necessary expenses for the furtherance of integrated, efficient, secure, and effective uses of information technology in the Federal Government, $15,000,000$11,491,000, to remain available until expended: Provided, That the Director of the Office of Management and Budget may transfer these funds to one or more other agencies to carry out projects to meet these purposes.","Information Technology Oversight and Reform (ITOR) funding provides the Government with a resource base controlled by the Director of the Office of Management and Budget (OMB) to support activities and tools that enhance the efficiency, effectiveness, and security of Federal investments in information technology (IT). ITOR supports Government-wide efforts to modernize out-of-date and inefficient IT, secure Federal IT systems and the agency data within, increase transparency in IT spending, and improve the governance of IT projects and services.Information Technology Oversight and Analysis.--Under the direction of the Federal Chief Information Officer (CIO), the Office of the Federal CIO (OFCIO) will continue engaging with agency CIOs to refine the guidance and tools supporting effective management of the large investment by Federal agencies in information technology, discussed in Chapter 15 of the Analytical Perspectives volume of the Budget. Additionally, ITOR funds will support policy analysis and development efforts to support innovative approaches to IT management, leveraging modern solutions to IT problems faced by all organizations, through reliance on cloud-based and shared solutions where appropriate. OMB will continue to ensure effective implementation by agencies of the Federal Information Technology Acquisition Reform Act (FITARA), as directed in OMB guidance.United States Digital Service (USDS).--USDS uses design and technology to deliver better services to the American people. USDS recruits some of the country's top technical talent who apply private sector best practices across government. USDS partners directly with federal agencies to address improvements and new site launches of digital services for the Federal Government's most critical public-facing programs. USDS also provides rapid response to agencies that experience system outages or security breaches. USDS projects not only provide the public with better digital services, but also help streamline agency processes and save taxpayer dollars. USDS has established a strong track record in helping agencies to roll out IT services supporting the Government's most critical public-facing programs.Cybersecurity.--ITOR funding for cybersecurity will continue to allow OMB to expand its data-driven, risk-based oversight of agency and government-wide cybersecurity programs, issuing and implementing Federal policies consistent with emerging technologies and evolving cyber threats. OMB will expand its work with agencies to ensure that information risk is threat-informed and proactively managed.  OFCIO will continue to develop and enhancestrategies to protect Federal information assets, acting in cooperation with National Security Council staff, the Department of Homeland Security, the National Institute for Standards and Technology, the Congress, and Federal agency Chief Information Officers and Chief Information Security Officers."
PB21PF01,100,95,0037  ,800 - General Government                                              ,802 - Executive direction and management                              ,100-95-0037   Unanticipated Needs,Executive Office of the President,Unanticipated Needs,"Unanticipated NeedsFor expenses necessary to enable the President to meet unanticipated needs, in furtherance of the national interest, security, or defense which may arise at home or abroad during the current fiscal year, as authorized by 3 U.S.C. 108, $1,000,000, to remain available until September 30, 2021 2022.","This account represents amounts appropriated to the President to meet unanticipated needs in furtherance of national interest, security, or defense."
PB21PF01,100,50,0038  ,800 - General Government                                              ,802 - Executive direction and management                              ,100-50-0038   Salaries and Expenses,Executive Office of the President,Office of Administration,"Salaries and expensesFor necessary expenses of the Office of Administration, including services as authorized by 5 U.S.C. 3109 and 3 U.S.C. 107, and hire of passenger motor vehicles, $94,000,000$100,000,000, of which not to exceed $12,800,000 shall remain available until expended for continued modernization of information resources within the Executive Office of the President.","The Office of Administration's mission is to provide a full array of customer-based administrative services to all entities of the Executive Office of the President. These services, defined by Executive Order 12028 of 1977, include financial, personnel, library, information management systems, security and emergency preparedness, and general office administrative services."
PB21PF01,014,25,0040  ,150 - International Affairs                                           ,151 - International development and humanitarian assistance           ,014-25-0040   United States Emergency Refugee and Migration Assistance Fund,Department of State,Other,"united states emergency refugee and migration assistance fundFor necessary expenses to carry out the provisions of section 2(c) of the Migration and Refugee Assistance Act of 1962 (22 U.S.C. 2601(c)), $100,000, to remain available until expended: Provided, That amounts in excess of the limitation contained in paragraph (2) of such section shall be transferred to, and merged with, funds made available by this Act under the heading ""Migration and Refugee Assistance"".","The Emergency Refugee and Migration Assistance Fund enables the President to provide humanitarian assistance for unexpected and urgent refugee and migration needs worldwide. In 2021, no funding is requested for the U.S. Emergency Refugee and Migration Assistance (ERMA) account. The new International Humanitarian Assistance (IHA) account will support ongoing humanitarian needs overseas as well as unexpected, urgent, refugee and migration needs."
PB21PF01,200,05,0040  ,050 - National Defense                                                ,054 - Defense-related activities                                      ,200-05-0040   Payment to Military Retirement Fund,Other Defense Civil Programs,Military Retirement,,"The 2021 payment to the Military Retirement Fund includes funds for the amortization of the unfunded liability for all retirement benefits earned by military personnel for service prior to 1985. The amortization schedule for the unfunded liability is determined by the Department of Defense Retirement Board of Actuaries. Included in the unfunded liability are the consolidated requirements of the military departments to cover retired officers and enlisted personnel of the Army, Navy, Marine Corps, and Air Force; retainer pay of enlisted personnel of the Fleet Reserve of the Navy and Marine Corps; and survivors' benefits.The 2004 National Defense Authorization Act (P.L. 108-136) created additional benefits for certain retirees who receive disability compensation from the Department of Veterans Affairs and moved the responsibility for payments under the Combat-Related Special Compensation program to the Military Retirement Fund. Any additional funding requirements for retirees with service prior to 1985 will be included in this payment.The 2016 National Defense Authorization Act (P.L. 114-92) enacted substantial changes to the current military retirement system. The new retirement system, which took effect January 1, 2018, is a blend of several components, including a defined retired pay benefit, a defined contribution to the Thrift Savings Plan, and a bonus (continuation pay) paid to the member to maintain Service retention requirements. Currently serving members will remain grandfathered under the legacy retirement system."
PB21PF01,100,40,0048  ,800 - General Government                                              ,802 - Executive direction and management                              ,100-40-0048   National Space Council,Executive Office of the President,National Space Council,"National space councilFor necessary expenses of the National Space Council, in carrying out the purposes of Title V of Public Law 100-685 and Executive Order 13803, hire of passenger motor vehicles, and services as authorized by section 3109 of title 5, United States Code, not to exceed $2,250 for official reception and representation expenses, $1,965,000: Provided, That notwithstanding any other provision of law, the National Space Council may accept personnel support from Federal agencies, departments, and offices, and such Federal agencies, departments, and offices may detail staff without reimbursement to the National Space Council for purposes provided herein.","The National Space Council provides advice and assistance to the President on national space policy and strategy. The President has directed it to review United States Government space policy, including long-range goals, and develop a strategy for national space activities; develop recommendations for the President on space policy and space-related issues; monitor and coordinate implementation of the objectives of the President's national space policy by executive departments and agencies; and foster close coordination, cooperation, and technology and information exchange among the civil, national security, and commercial space sectors, and facilitate resolution of differences concerning major space and space-related policy issues."
PB21PF01,453,00,0052  ,750 - Administration of Justice                                       ,752 - Federal litigative and judicial activities                      ,453-00-0052   Salaries and Expenses,State Justice Institute,State Justice Institute,"Salaries and expensesFor necessary expenses of the State Justice Institute, as authorized by the State Justice Institute Act of 1984 (42 U.S.C. 10701 et seq.) $6,555,000 $8,000,000, of which $500,000 shall remain available until September 30, 2021 2022: Provided, That not to exceed $2,250 shall be available for official reception and representation expenses: Provided further, That, for the purposes of section 505 504 of this Act, the State Justice Institute shall be considered an agency of the United States Government.","The State Justice Institute (SJI) was established by Federal law (42 U.S.C. 10701 et seq.) as a non-profit corporation to award grants and undertake other activities to improve the quality of justice in State courts and foster innovative, efficient solutions to common issues faced by all courts. SJI has the authority to assist all State courts--criminal, civil, juvenile, family, and appellate--and the mandate to share the success of one State's innovations with every State court system and the Federal courts. The FY 2021 budget proposes a $1.0 million enhancement to address the unique challenges of the opiod epidemic, mental health issues, and technology in state courts. "
PB21PF01,184,10,0072  ,150 - International Affairs                                           ,151 - International development and humanitarian assistance           ,184-10-0072   Contribution to the Inter-American Development Bank,International Assistance Programs,Multilateral Assistance,,"The Inter-American Development Bank (IDB) is the largest source of development financing for 26 countries in Latin America and the Caribbean, a strategically significant and economically important region for the United States where 73 million people live in poverty. The IDB works in a range of sectors and commits roughly half of its funding to support infrastructure through projects in water and sanitation, transportation and energy. The other half is split between capacity building, including reform of government operations and financial markets, and social sectors, including social investment, health, and education.  The United States is the largest shareholder in the IDB, with 30 percent of total shareholding, enabling the United States to wield significant influence over major decisions about the direction of the IDB. No new funding is requested for IDB in 2021.Inter-American Investment CorporationThe Inter-American Investment Corporation (IIC), a member of the Inter-American Development Bank Group established in 1984, promotes development of the private sector in Latin America and the Caribbean. It is a legally autonomous entity whose resources and management are separate from those of the IDB itself. In 2017, the IIC implemented organizational and operational reforms stemming from the 2016 consolidation of the IDB's private sector financing activities into the IIC. As a result of this consolidation, the IIC's mandate has expanded from a focus on small- and medium-sized enterprises to include financing for private infrastructure and corporate entities.  No funding is requested for the IIC in 2021."
