program_title,popular_name,federal_agency,objectives
Agricultural Research Basic and Applied Research,(Extramural Research),"AGRICULTURAL RESEARCH SERVICE, AGRICULTURE, DEPARTMENT OF","To make agricultural research discoveries, evaluate alternative ways of attaining research goals, and provide scientific technical information."
"Plant and Animal Disease, Pest Control, and Animal Care",,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE, AGRICULTURE, DEPARTMENT OF","To protect U.S. agriculture from economically injurious plant and animal diseases and pests, ensure the safety and potency of veterinary biologic, and ensure the humane treatment of animals."
Wildlife Services,,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE, AGRICULTURE, DEPARTMENT OF","To reduce damage caused by mammals and birds and those mammal and bird species that are reservoirs for zoonotic diseases, (except for urban rodent control through control and research activities).  Wherever feasible, humane methods will be emphasized."
Avian Influenza Indemnity Program,(AII),"ANIMAL AND PLANT HEALTH INSPECTION SERVICE, AGRICULTURE, DEPARTMENT OF","The Animal and Plant Health Inspection Service (APHIS) of the United States Department of Agriculture (USDA) administers regulations at 9 CFR part 53 that provide for the payment of indemnity to owners of animals that are required to be destroyed because of foot-and-mouth disease, pleuropneumonia, rinderpest, exotic Newcastle disease, highly pathogenic avian influenza, infectious salmon anemia, or any other communicable disease of livestock or poultry that, in the opinion of the Secretary of Agriculture, constitutes an emergency and threatens the U.S. livestock or poultry population.  Payment for animals destroyed is to be based on the fair market value of the animals."
Indemnity Program,,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE, AGRICULTURE, DEPARTMENT OF","Animal and Plant Health Inspection Service administers regulations at 9 CFR parts 50 to 54 that authorizes payment for indemnities.  This authority covers a wide variety of indemnity situations ranging from large livestock depopulations to small fowl depopulations, and there are various indemnity calculations and processes for determining the indemnity value for each specific species.  The Secretary of Agriculture offers an opinion that constitutes an emergency and threatens the U.S. animal population.  Payment for the destroyed animals is based on fair market value.  Also, under Section 415 (e) of the Plant Protection Act (Title IV of Public Law 106-224), under a declaration of extraordinary emergency because of the presence of a plant pest or noxious weed that is new to or not known to be widely prevalent in the United States, the Secretary may pay compensation for economic losses incurred by as a result of actions taken under the authorities in this section (415).
"
Commodity Loans and Loan Deficiency Payments,Marketing Assistance Loans (MAL's) and Loan Deficiency Payments (LDP's),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To improve and stabilize farm income, to assist in bringing about a better balance between supply and demand of the commodities, and to assist farmers in the orderly marketing of their crops."
Dairy Indemnity Program,DIPP,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To protect dairy farmers and manufacturers of dairy products who through no fault of their own, are directed to remove their milk or dairy products from commercial markets because of contamination from pesticides which have been approved for use by the Federal government.  Dairy farmers can also be indemnified because of contamination with chemicals or toxic substances, nuclear radiation or fallout."
Emergency Conservation Program,(ECP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To enable farmers to perform emergency conservation measures to control wind erosion on farmlands, to rehabilitate farmlands damaged by wind erosion, floods, hurricanes, or other natural disasters and to carry out emergency water conservation or water enhancing measures during periods of severe drought."
Direct and Counter-cyclical Payments Program,(DCP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",To provide income support to eligible producers of covered commodities.
Livestock Assistance Program,(LAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To provide direct payments to eligible livestock producers who suffered grazing losses due to drought, hot weather, disease, insect infestation, fire, hurricane, flood, fire, earthquake, severe storm, or other disasters during the 2000 crop year. Benefits will be provided to eligible livestock producers only in those counties where a severe natural disaster occurred.  A county must have been approved as a primary disaster area under a Secretarial disaster designation or Presidential disaster declaration after January 1, 2000, and subsequently approved for participation in the Livestock Assistance Program (LAP) by the Deputy Administrator for Farm Programs."
